timestamp,person_id,body_height,shoulder_body_ratio,role
1766266547.3727314,22,301.66,0.384,CHILD
1766266547.5527852,22,321.46,0.385,CHILD
1766266547.758222,22,310.48,0.345,CHILD
1766266547.9506705,22,316.45,0.352,CHILD
1766266548.1317437,22,330.1,0.392,CHILD
1766266548.320814,22,322.91,0.358,CHILD
1766266548.322816,24,218.07,0.382,CHILD
1766266548.5178604,22,325.77,0.377,CHILD
1766266548.519862,24,218.87,0.403,CHILD
1766266548.7119436,22,320.92,0.323,CHILD
1766266548.7139447,24,182.01,0.455,CHILD
1766266548.9029958,22,329.42,0.331,CHILD
1766266548.903996,24,235.71,0.361,CHILD
1766266549.0970604,22,294.33,0.496,CHILD
1766266549.288119,22,272.44,0.504,CHILD
1766266549.2901187,24,191.91,0.627,CHILD
1766266549.4696653,22,278.36,0.515,CHILD
1766266549.47266,24,193.41,0.568,CHILD
1766266549.6682992,22,285.97,0.495,CHILD
1766266549.6693094,24,195.46,0.55,CHILD
1766266549.850408,22,290.14,0.464,CHILD
1766266549.8514087,24,199.09,0.552,CHILD
1766266550.0344934,22,297.54,0.456,CHILD
1766266550.036494,24,207.12,0.568,CHILD
1766266550.2308798,22,304.16,0.462,CHILD
1766266550.232942,24,209.08,0.527,CHILD
1766266550.4290385,22,314.93,0.342,CHILD
1766266550.43104,24,215.63,0.412,CHILD
1766266550.984215,22,270.25,0.384,CHILD
1766266551.185282,24,187.79,0.398,CHILD
1766266551.38284,26,229.61,0.018,CHILD
1766266551.3843508,22,228.01,0.445,CHILD
1766266551.5839083,22,214.12,0.473,CHILD
1766266551.7944653,22,214.84,0.462,CHILD
1766266552.0065281,22,217.72,0.448,CHILD
1766266552.1926217,22,232.98,0.471,CHILD
1766266552.382181,22,229.21,0.464,CHILD
1766266552.5846329,22,240.83,0.515,CHILD
1766266552.7849154,22,234.46,0.503,CHILD
1766266552.9802332,22,236.21,0.487,CHILD
1766266553.1733086,22,236.71,0.407,CHILD
1766266553.3783584,22,212.06,0.432,CHILD
1766266553.5724132,22,211.83,0.422,CHILD
1766266553.7664614,22,196.94,0.436,CHILD
1766266553.9575264,22,194.58,0.439,CHILD
1766266553.959527,26,259.37,0.139,CHILD
1766266554.1556132,22,206.79,0.442,CHILD
1766266554.1586196,26,265.17,0.244,CHILD
1766266554.3496747,22,207.26,0.389,CHILD
1766266554.3506753,26,293.78,0.247,CHILD
1766266554.5577242,22,204.79,0.421,CHILD
1766266554.559722,26,285.26,0.284,CHILD
1766266554.7428148,22,209.08,0.457,CHILD
1766266554.744816,26,289.69,0.258,CHILD
1766266554.949938,22,202.28,0.453,CHILD
1766266554.951219,26,256.69,0.214,CHILD
1766266555.1566918,22,201.98,0.473,CHILD
1766266555.398336,22,210.97,0.46,CHILD
1766266555.586384,22,206.75,0.454,CHILD
1766266555.6303961,26,261.73,0.039,CHILD
1766266555.824443,22,197.08,0.474,CHILD
1766266555.826445,26,271.03,0.196,CHILD
1766266556.0335054,22,184.6,0.46,CHILD
1766266556.035506,26,273.0,0.142,CHILD
1766266556.2475543,22,200.99,0.489,CHILD
1766266556.2495573,26,322.74,0.241,CHILD
1766266556.4676266,22,196.78,0.503,CHILD
1766266556.4696271,26,320.87,0.251,CHILD
1766266556.6636875,22,203.53,0.442,CHILD
1766266556.6656897,26,325.8,0.258,CHILD
1766266556.8487735,22,205.17,0.431,CHILD
1766266556.8497744,26,327.9,0.27,CHILD
1766266557.031891,22,206.83,0.43,CHILD
1766266557.0338893,26,314.07,0.348,CHILD
1766266557.2369463,22,202.34,0.441,CHILD
1766266557.2399507,26,297.51,0.388,CHILD
1766266557.4432445,22,190.68,0.459,CHILD
1766266560.0393412,22,280.22,0.14,CHILD
1766266560.2554536,28,176.1,0.129,CHILD
1766266560.2564535,22,314.51,0.109,CHILD
1766266560.462534,28,123.95,0.168,CHILD
1766266560.463535,22,324.96,0.019,CHILD
1766266561.0857935,28,228.37,0.065,CHILD
1766266561.710016,22,344.08,0.287,CHILD
1766266563.75547,22,336.26,0.381,CHILD
1766266564.147652,22,155.64,1.643,CHILD
1766266564.3452592,22,186.61,1.696,CHILD
1766266564.5399964,22,183.13,1.573,CHILD
1766266564.7221184,22,169.11,1.804,CHILD
1766266564.919183,22,151.49,1.956,CHILD
1766266565.110267,22,141.01,2.05,CHILD
1766266565.3013284,22,128.87,2.393,CHILD
1766266565.479866,22,130.96,2.291,CHILD
1766266565.6669247,22,131.56,2.418,CHILD
1766266565.8420107,22,130.87,2.368,CHILD
1766266566.0330741,22,127.6,2.452,CHILD
1766266566.215169,22,126.75,2.386,CHILD
1766266566.414551,22,124.93,2.467,CHILD
1766266566.604248,22,125.54,2.292,CHILD
1766266566.7885745,22,123.08,2.533,CHILD
1766266566.9726236,22,130.58,2.331,CHILD
